model,TSR_original,TSR_object,TSR_action,dTSR_object_pp,dTSR_action_pp
smolvla,0.785,0.2973,0.0724,48.77,71.26
openvla,0.65,0.48,0.6067,17.0,4.33
openvla_oft,0.9784,0.78,0.9067,19.84,7.17
