model,suite,condition,TSR,TSR_std_over_seeds,delta_TSR_pp,CSS,n_total,seeds
openvla,libero_goal,original,0.6625,0.0250,0.00,,80,7;42
openvla,libero_goal,blank,0.0000,0.0000,66.25,1.0000,80,7;42
openvla,libero_goal,nonsense,0.0000,0.0000,66.25,1.0000,80,7;42
openvla,libero_goal,wrong_object,0.0370,0.0232,62.55,,54,7;42
openvla,libero_goal,wrong_action,0.5250,0.0167,13.75,,80,7;42
openvla,libero_goal,wrong_task,0.0000,0.0000,66.25,,80,7;42
openvla,libero_goal,repeated,0.6333,0.0000,2.92,,60,7
