model,axis,n_failed,planning,execution,unclassified
smolvla,para_object,182,96,86,0
smolvla,para_action,807,462,345,0
smolvla,para_compositional,2910,1854,1056,0
smolvla,ALL,3899,2412,1487,0
openvla,para_object,78,43,35,0
openvla,para_action,59,35,24,0
openvla,para_compositional,114,69,45,0
openvla,ALL,251,147,104,0
openvla_oft,para_object,33,17,16,0
openvla_oft,para_action,14,10,4,0
openvla_oft,para_compositional,69,41,28,0
openvla_oft,ALL,116,68,48,0
