model,TSR_original,TSR_object,TSR_action,dTSR_object_pp,dTSR_action_pp
smolvla,0.7842,0.2973,0.0724,48.69,71.18
openvla,0.6923,0.48,0.6067,21.23,8.56
openvla_oft,0.975,0.78,0.9067,19.5,6.83
